Liste des candidats,Nuance,Voix,Elu(e),pourcentage_inscrits,pourcentage_exprimes,abstentions,circo,dep,reg,groupe_nuance
M. Bernard PAEMELAERE,UG,18700,QUALIF T2,0.1789593561291187,0.2653611465872002,32052,4204,42,84,fp
M. Thomas CIANO,UG,12557,QUALIF T2,0.1503454221094096,0.2085153019710732,22466,7803,78,11,fp
Mme Valérie ROUVERAND,ENS,11394,QUALIF T2,0.1260928266306633,0.2009594694698225,32430,3001,30,76,en
Mme Emmanuelle ANTHOINE,LR,16635,QUALIF T2,0.1651903636471967,0.2397872401764349,29765,2604,26,84,lr
M. Patrick ALEXANDRE,UG,9656,QUALIF T2,0.1327321713311706,0.1991708091829789,22879,4903,49,52,fp
M. Fabrice BRUN,DVD,15194,QUALIF T2,0.1875293130260917,0.2648376357393108,22335,0703,07,84,lr
Mme Marjolaine MEYNIER-MILLEFERT,ENS,14688,QUALIF T2,0.1477740328990391,0.221920043513734,31677,3810,38,84,en
M. Noé PETIT,UG,10795,QUALIF T2,0.1331828163940089,0.1955013854428889,24082,4103,41,24,fp
M. Cédric BRIOLAIS,UG,14918,QUALIF T2,0.161310553633218,0.224017539381016,24689,7810,78,11,fp
Mme Sandra BARBIER,UG,17240,QUALIF T2,0.1734214523543672,0.2555853705543119,29596,3703,37,24,fp
M. Benoît VUILLEMIN,ENS,15026,QUALIF T2,0.1905039619651347,0.2679195492475572,21525,2502,25,27,en
Mme Marie Madeleine DORÉ-LUCAS,UG,13999,QUALIF T2,0.1426228172056156,0.2041474049553031,27644,5603,56,53,fp
Mme Anne-Laure BOUTET,UG,9524,QUALIF T2,0.1294355879914651,0.1976876932976316,24246,4505,45,24,fp
Mme Anne-Valérie DUVAL,UG,17980,QUALIF T2,0.1624444364135737,0.2281841717853698,29789,7401,74,84,fp
M. Antoine RAVARD,UG,14717,QUALIF T2,0.1645810268281499,0.2291974895267166,23834,2203,22,53,fp
Mme Dominique BLANC,ENS,10162,QUALIF T2,0.1524200926939748,0.2269063302445015,20111,0402,04,93,en
Mme Jade BENIGUEL,UG,21405,QUALIF T2,0.1882155355855301,0.2579599411892309,28784,5602,56,53,fp
M. Christian JOLIE,UG,13497,QUALIF T2,0.1604302864614287,0.251247207743857,29169,0103,01,84,fp
Mme Sarah TANZILLI,ENS,14933,QUALIF T2,0.1662899076847696,0.2421397415316761,27099,6913,69,84,en
M. Aurélien COLSON,ENS,11521,QUALIF T2,0.1346335876970539,0.2072718767990788,28866,3006,30,76,en
Mme Aline JEUDI,UG,10935,QUALIF T2,0.1365714142978468,0.2040416480071652,24756,0303,03,84,fp
M. Guillaume TATU,UG,19215,QUALIF T2,0.1889510585782698,0.2688314958867312,28636,7402,74,84,fp
Mme Anne-Laure BABAULT,ENS,19773,QUALIF T2,0.1740121446801021,0.2532986600394558,33612,1702,17,75,en
Mme Sylvie ESPAGNOLLE,UG,20925,QUALIF T2,0.1923501185814351,0.2765918073308395,30528,3105,31,76,fp
M. Clément SAPIN,UG,13783,QUALIF T2,0.1577525723638278,0.234556345937851,26395,3602,36,24,fp
Mme Christel GRANATA,UG,15212,QUALIF T2,0.1616303285307493,0.2292759389883643,26053,7301,73,84,fp
M. Baptiste DE FRESSE DE MONVAL,UG,9999,QUALIF T2,0.1318155452436195,0.2045663781992266,25629,6006,60,32,fp
M. Erwan CROUAN,ENS,18223,QUALIF T2,0.1989844944310985,0.2798544136617728,24649,2906,29,53,en
M. Maxime MINOT,LR,10519,QUALIF T2,0.1364013589564044,0.2151520729786668,27165,6007,60,32,lr
M. Abdel YOUSFI,UG,15765,QUALIF T2,0.160834523566619,0.2287069678374026,27586,6911,69,84,fp
M. Sébastien MIOSSEC,DVG,14399,QUALIF T2,0.1569561473310151,0.221720920205722,25116,2908,29,53,dg
M. Thomas LE BON,UG,11768,QUALIF T2,0.1282769596354876,0.1812078470019402,25116,2908,29,53,fp
M. Jean-Luc DELPEUCH,UG,14017,QUALIF T2,0.1862476747276109,0.2759360604748218,23084,7101,71,27,fp
Mme Celline GACON,UG,13694,QUALIF T2,0.1333190544803146,0.1865718411945829,27850,4301,43,84,fp
M. Laurent BONNATERRE,HOR,13120,QUALIF T2,0.1520507144761088,0.2471228645156429,31630,7604,76,28,en
M. Quentin BATAILLON,ENS,9864,QUALIF T2,0.1542141550583931,0.2371838030201019,21540,4201,42,84,en
M. Adrien MORENAS,ENS,11454,QUALIF T2,0.1348386033480093,0.2029267946991708,26656,8405,84,93,en
M. Christian BAUME,ENS,12727,QUALIF T2,0.1326751871234076,0.1920621746019769,27885,3003,30,76,en
Mme Sylvie CASENAVE-PÉRÉ,ENS,13565,QUALIF T2,0.166566387111826,0.2587555318174881,27296,7204,72,52,en
Mme Patricia MIRALLES,ENS,13806,QUALIF T2,0.1511032308904649,0.2254114420062695,28757,3401,34,76,en
Mme Ghislaine BONNET,UG,12258,QUALIF T2,0.1661741181574167,0.2501479501255025,23131,7201,72,52,fp
M. Eric LE JAOUEN,UDI,7310,QUALIF T2,0.1436459745721079,0.2307522333406989,18558,4202,42,84,en
M. Nicolas HELARY,UG,18234,QUALIF T2,0.1598295992426633,0.2334250784100364,33474,8502,85,52,fp
Mme Barbara BERTOZZI-BIÉVELOT,UG,13009,QUALIF T2,0.1349061495385253,0.2058581510902933,31625,5404,54,44,fp
M. Amadou DEME,UG,21010,QUALIF T2,0.2109162458715228,0.3082995832599636,29316,9104,91,11,fp
Mme Florence Janine Jacqueline PERRIN,UG,17412,QUALIF T2,0.1758006542546747,0.2364475828354155,24116,6910,69,84,fp
Mme Margot LAPEYRE,UG,16673,QUALIF T2,0.1953622984626921,0.283670205526065,24571,8101,81,76,fp
M. Damien LACROIX,UG,10913,QUALIF T2,0.1268289848335173,0.2192422050787528,34704,5913,59,32,fp
Mme Laurence GAYTE,ENS,11367,QUALIF T2,0.1327145359019264,0.2042220625224577,27856,6603,66,76,en
M. Pierre-Yves JOURDAIN,UG,12506,QUALIF T2,0.1392464258673673,0.2127847821278478,29619,2705,27,28,fp
Mme Monique IBORRA,ENS,25256,QUALIF T2,0.2151754221548213,0.296025411113846,29722,3106,31,76,en
M. Jean-Philippe ARDOUIN,ENS,15536,QUALIF T2,0.1855576523421637,0.2788477070806784,26017,1703,17,75,en
Mme Émilie CHALAS,ENS,7908,QUALIF T2,0.1376309652267743,0.2000505944852011,17232,3803,38,84,en
Mme Florence CLAUDEPIERRE,UG,12913,QUALIF T2,0.1375757769467617,0.2207727816720807,33895,6806,68,44,fp
Mme Isabelle NEGRIER,ENS,15544,QUALIF T2,0.1851622432934674,0.2699173438910884,23998,8701,87,75,en
Mme Séverine SAINT-PÉ,HOR,15875,QUALIF T2,0.195859499339938,0.2885157116115079,24408,8601,86,75,en
Mme Audrey DUFEU,ENS,11991,QUALIF T2,0.1315567160740342,0.202841918294849,30695,4408,44,52,en
Mme Huguette TIEGNA,ENS,12752,QUALIF T2,0.1922798552472858,0.269581210494049,17023,4602,46,76,en
Mme Claire PITOLLAT,ENS,15870,QUALIF T2,0.1879441023211748,0.2701184640522875,24873,1302,13,93,en
Mme Charlyne BOUVET,UG,10629,QUALIF T2,0.1396237816252003,0.2059045737199976,22834,4904,49,52,fp
M. Leslie MORTREUX,UG,12065,QUALIF T2,0.1450259640350033,0.2482459208658258,33501,5910,59,32,fp
Mme Ophélie DELNESTE,UG,16591,QUALIF T2,0.1622068183373581,0.2425797584583442,31957,5905,59,32,fp
M. Nicolas MICHEL,ENS,12158,QUALIF T2,0.1251917829377542,0.1893769470404984,31067,2602,26,84,en
M. Patrick VIGNAL,ENS,14918,QUALIF T2,0.1645815405661834,0.2500251399456977,29271,3409,34,76,en
M. Loïc SIGNOR,ENS,10871,QUALIF T2,0.1461706018394019,0.2376694359422824,26998,9403,94,11,en
M. Pierre MOURARET,UG,14247,QUALIF T2,0.1358487327650323,0.197839279019066,31369,1404,14,28,fp
M. Guillaume VUILLETET,ENS,13044,QUALIF T2,0.1655729173277821,0.2535129146988514,26092,9502,95,11,en
Mme Laura VALLÉE-HANS,UG,14267,QUALIF T2,0.18311214929281,0.2840334461477204,26422,7703,77,11,fp
Mme Stéphanie LEFOULON,UG,9176,QUALIF T2,0.1262955061592457,0.1917739508443404,23470,5303,53,52,fp
Mme Valérie JACQ,UG,9616,QUALIF T2,0.1425712040565184,0.2047264211198637,19020,2104,21,27,fp
Mme Anne BRACHET,UG,18344,QUALIF T2,0.1524905233756733,0.221505765863672,35196,1705,17,75,fp
M. Jimmy BESSAIH,UG,16050,QUALIF T2,0.1449026759596981,0.2080389894878741,31704,1310,13,93,fp
M. Victorien NICOLAS,UG,13028,QUALIF T2,0.1696840240693948,0.2660784674141699,26337,5702,57,44,fp
Mme Louve CARRIÈRE,ENS,10114,QUALIF T2,0.1276778387931578,0.1922557834508715,25415,3802,38,84,en
Mme Carole BALLU,UG,11208,QUALIF T2,0.1344529750479846,0.2033935214590327,26164,1602,16,75,fp
Mme Evelyne TERNANT,UG,9303,QUALIF T2,0.1669508102578827,0.2474531187657933,17006,3902,39,27,fp
M. Jean-Yves LALANNE,DVG,9625,QUALIF T2,0.1385948997076907,0.1995066744051073,20039,6401,64,75,dg
M. Benoit MOURNET,ENS,15121,QUALIF T2,0.1708664798408967,0.2490734487473027,25703,6502,65,76,en
M. Anthony VADOT,LR,12222,QUALIF T2,0.1479213313161876,0.2232573432704954,25995,7104,71,27,lr
M. Bruno MILLIENNE,ENS,13340,QUALIF T2,0.141729439138149,0.2134639079576912,30212,7809,78,11,en
M. Christophe LAVIALLE,UG,15176,QUALIF T2,0.1994637505914515,0.2970444313955764,23787,4506,45,24,fp
M. Stéphane PIROUELLE,UG,10560,QUALIF T2,0.1415037452932584,0.2174942845962144,25184,5102,51,44,fp
M. Allan POPELARD,UG,11706,QUALIF T2,0.1551264891798412,0.2331593833406365,24486,1305,13,93,fp
M. Clément VERDE,UG,9089,QUALIF T2,0.129022641777273,0.1936177917900432,22115,4503,45,24,fp
Mme Brigitte VAÎSSE,UG,14607,QUALIF T2,0.145038774314623,0.2284163943142191,34994,5709,57,44,fp
M. Cyril JOBIC,ENS,17555,QUALIF T2,0.2152244807885638,0.3056232590529248,21928,2204,22,53,en
M. Hubert DE JENLIS,ENS,12997,QUALIF T2,0.168047995241851,0.2523444325793612,24779,8002,80,32,en
M. Philippe GAUTIER,ENS,8531,QUALIF T2,0.1303059463257419,0.2042766151046405,22529,2504,25,27,en
Mme Charlotte LEDUC,UG,13565,QUALIF T2,0.1783530772972902,0.2826866169299379,26714,5703,57,44,fp
Mme Magali CROZIER,UG,13126,QUALIF T2,0.1382542842396857,0.2107646359870259,31359,3406,34,76,fp
Mme Florence MARTIN PÉRÉON,UG,16211,QUALIF T2,0.1895291875650333,0.2861555841909233,27344,7607,76,28,fp
Mme Patricia CHAPELOTTE,ENS,9658,QUALIF T2,0.1416461339903789,0.2152488354988967,21957,6101,61,28,en
M. Philippe GUILLEMARD,ENS,14435,QUALIF T2,0.1733538291561085,0.2637878732502467,27392,5401,54,44,en
M. Gérard VEZ,UG,14630,QUALIF T2,0.1626495308400409,0.2400879611395562,27529,7403,74,84,fp
M. Hervé PRAT,UG,11833,QUALIF T2,0.168549248629015,0.2429275302812564,20295,3903,39,27,fp
M. Jean-François BRIDET,UG,14705,QUALIF T2,0.1605962977120078,0.2405489849667108,29049,2801,28,24,fp
M. Gilles LE GENDRE,DVC,11071,QUALIF T2,0.1484466136580002,0.1962316991031231,17671,7502,75,11,en
M. Léon THEBAULT,UG,12702,QUALIF T2,0.1621290446103771,0.2273654816883256,20567,1201,12,76,fp
Mme Nour BENAÏSSA WATBOT,UG,12765,QUALIF T2,0.1586818159216349,0.2369505494505494,25288,7702,77,11,fp
M. Lori HELLOCO,UG,9988,QUALIF T2,0.1413669624785925,0.2107261909785223,22150,6103,61,28,fp
M. Philippe PRADAL,ENS,14670,QUALIF T2,0.1599363307313244,0.2536438611961201,32712,0603,06,93,en
M. Paul VO VAN,UG,15479,QUALIF T2,0.1747894035547325,0.2563215155077911,25872,4701,47,75,fp
Mme Marina COCCIA,UG,14457,QUALIF T2,0.1648893096251012,0.2412958573956003,26115,3705,37,24,fp
Mme Hélène MACON,UG,24197,QUALIF T2,0.1823889889723895,0.2635723933597664,38045,4409,44,52,fp
Mme Véronique MAHÉ,UG,19881,QUALIF T2,0.1671430733273922,0.2411425799017527,33383,4407,44,52,fp
M. Grégory BOISSEAU,UG,12135,QUALIF T2,0.1521458393410148,0.2276692744976642,24780,5302,53,52,fp
M. Pascal LEVIEUX,UG,14129,QUALIF T2,0.1928663081165197,0.2716645196023765,19098,3201,32,76,fp
Mme Sylvie GABIN,UG,16707,QUALIF T2,0.1676467046640443,0.2479187998041223,29883,4906,49,52,fp
Mme Violette SALANON,ENS,11630,QUALIF T2,0.1331349092782325,0.2077045344953833,30117,5902,59,32,en
Mme Michèle PEYRON,ENS,12023,QUALIF T2,0.1370376702570239,0.2157482010515549,30745,7709,77,11,en
M. Vincent SAULNIER,UDI,9957,QUALIF T2,0.1342510820176089,0.2010175034825268,23384,5301,53,52,en
M. Mathieu GARNIER,UG,11986,QUALIF T2,0.1351342209995828,0.2090338332752005,29780,7704,77,11,fp
Mme Pascale MARTINOT,UG,11591,QUALIF T2,0.1532673948113082,0.2296657354019299,24026,7302,73,84,fp
M. Richard BENINGER,UG,10375,QUALIF T2,0.1282431613947911,0.1914171325252301,24735,7103,71,27,fp
Mme Émilie CHANDLER,ENS,14244,QUALIF T2,0.1695391354027804,0.2546254089129618,26542,9501,95,11,en
Mme Élodie JACQUIER-LAFORGE,ENS,19307,QUALIF T2,0.1905546782471378,0.2726014825273561,28739,3809,38,84,en
M. Dominique DA SILVA,ENS,10241,QUALIF T2,0.1494185792030814,0.2313252467755415,23262,9507,95,11,en
M. Jean LASSALLE,DVD,10434,QUALIF T2,0.1291464501435785,0.1805346483259797,21647,6404,64,75,lr
M. Hugo LEFELLE,UG,11432,QUALIF T2,0.1623840570446442,0.252239530470853,23447,1801,18,24,fp
M. Jacques MYARD,DVD,12241,QUALIF T2,0.1594586144907901,0.229013488989916,22131,7805,78,11,lr
Mme Sandra GERMAIN,ENS,10708,QUALIF T2,0.1359487081825684,0.2044213661181322,24509,5802,58,27,en
M. Alexis IZARD,ENS,20189,QUALIF T2,0.2036536405269635,0.2989811331931404,29864,9103,91,11,en
M. Jean-Baptiste BAUD,UG,15985,QUALIF T2,0.1541406310267685,0.2351669045062009,34132,7405,74,84,fp
M. Gilles RENAULT,UG,20200,QUALIF T2,0.181023049073377,0.2585169827740664,30678,3505,35,53,fp
M. Alain HUNAULT,DVD,22993,QUALIF T2,0.1960388104494918,0.2918115592557809,35797,4406,44,52,lr
M. Graig MONETTI,ENS,11558,QUALIF T2,0.1411595158709803,0.2279279812262123,30141,0601,06,93,en
M. Jean-Marie LENZI,ENS,11272,QUALIF T2,0.1464961530463714,0.2198599543583842,23601,4702,47,75,en
M. Sébastien FINE,ENS,10338,QUALIF T2,0.189628923088211,0.267035181071447,14801,0502,05,93,en
Mme Corinne MARTINEZ,UG,20163,QUALIF T2,0.1941606401725615,0.278875810846323,28885,3309,33,75,fp
M. Jean DELALANDRE,HOR,14259,QUALIF T2,0.1502940742458418,0.2235338381225603,29562,7605,76,28,en
Mme Christine LE BONTÉ,UG,11991,QUALIF T2,0.1372109256101887,0.2158362733098135,30142,2701,27,28,fp
M. Philippe VEYSSIERE,UG,9197,QUALIF T2,0.1272765015222806,0.1949632204862951,23423,8902,89,27,fp
Mme Elsa LAFAYE,UG,16209,QUALIF T2,0.1788125496425734,0.2512672650327861,24462,3506,35,53,fp
Mme Marylène FAURE,UG,15849,QUALIF T2,0.1303822043798022,0.186951495706332,34656,3308,33,75,fp
M. Frédéric DESCROZAILLE,ENS,11232,QUALIF T2,0.1306958343030021,0.1857419258818276,24528,9401,94,11,en
M. Jean-Marc LESPADE,UG,24645,QUALIF T2,0.19776595488577,0.2842560553633218,35132,4002,40,75,fp
M. Jean-Michel BAUDRY,UG,15561,QUALIF T2,0.1658424810828093,0.2374818771461274,26326,5606,56,53,fp
M. Maxime MEYER,UG,16981,QUALIF T2,0.1666862987612148,0.2361161322617425,28438,0102,01,84,fp
M. Jean-Bernard SEMPASTOUS,DIV,14776,QUALIF T2,0.1692011725906925,0.2484446985237246,25834,6501,65,76,au
M. Benoit GAUVAN,ENS,8132,QUALIF T2,0.1322857189335155,0.1934992623613953,18194,0401,04,93,en
Mme Nadia FAVERIS,UG,11956,QUALIF T2,0.1582255865966147,0.2558911028829484,27860,2802,28,24,fp
M. Eric HABOUZIT,UG,10182,QUALIF T2,0.1432087652428304,0.2238195726721181,24452,8301,83,93,fp
Mme Naïma SIFER,ENS,13490,QUALIF T2,0.145181773176349,0.2209157605135595,30085,9102,91,11,en
Mme Elisabeth TOUTUT-PICARD,ENS,18462,QUALIF T2,0.1705827458444594,0.2481184818836684,31112,3107,31,76,en
M. Richard BOUIGUE,UG,14660,QUALIF T2,0.2028476152260242,0.2880666522567841,19095,1203,12,76,fp
Mme Evelyne BOURGOIN,UG,12835,QUALIF T2,0.1702480435070964,0.2705180626396324,26815,5101,51,44,fp
M. Yves TROUSSELLE,UG,9901,QUALIF T2,0.1343802168867655,0.2108794274882324,25143,8604,86,75,fp
M. Pierre-Hugues FOURAGE,UG,11321,QUALIF T2,0.1347609751452242,0.2011906877554647,26026,8505,85,52,fp
Mme Valérie RUEDA,UG,9893,QUALIF T2,0.1587604711621786,0.224259872149431,16947,1501,15,84,fp
Mme Sylvie VIALA,ENS,11260,QUALIF T2,0.1302050208721192,0.194047598531718,26889,8402,84,93,en
Mme Marie-Eve BELORGEY,UG,7233,QUALIF T2,0.1521039682038988,0.2259324045729993,14784,9001,90,27,fp
M. Vincent FELIX,UG,14793,QUALIF T2,0.1574896199297349,0.2609500961385806,35384,5701,57,44,fp
M. François DUROVRAY,DVD,13532,QUALIF T2,0.1767387187357147,0.2738051879729675,26007,9108,91,11,lr
M. Clément TONON,ENS,12835,QUALIF T2,0.1643258606783002,0.2430180819842847,23125,2401,24,75,en
M. Andre Antoine Célestin CHAPAVEIRE,UG,10898,QUALIF T2,0.1372716966872402,0.1954517737365042,22317,4302,43,84,fp
Mme Marie-Eve TAYOT,ENS,16937,QUALIF T2,0.1722325042201387,0.2444505383482954,25675,8702,87,75,en
M. Alexandre BEDDOCK,UG,13938,QUALIF T2,0.1344289806429212,0.2007373909035919,32836,1308,13,93,fp
M. Mohamed LAQHILA,ENS,16581,QUALIF T2,0.1770547469807472,0.2627941992233933,29051,1311,13,93,en
Mme Sabrina AGRESTI-ROUBACHE,ENS,12585,QUALIF T2,0.1520074403323992,0.236063175270108,28226,1301,13,93,en
Mme Marie GUÉVENOUX,ENS,13908,QUALIF T2,0.1743141113213932,0.2711322520274485,27115,9109,91,11,en
Mme France MOREAU,UG,11220,QUALIF T2,0.1400801528147121,0.2132917648847996,25757,4905,49,52,fp
Mme Dominique FAURE,ENS,22910,QUALIF T2,0.2178750760803408,0.2899486167008378,23611,3110,31,76,en
M. Julien BRUNEL,UG,16083,QUALIF T2,0.1899447278911564,0.2648802661484238,22316,6402,64,75,fp
Mme Ingrid BRULANT-FORTIN,ENS,16559,QUALIF T2,0.1776888326125913,0.2794154868973896,32377,5911,59,32,en
M. Nicolas GUIVARC'H,UG,16701,QUALIF T2,0.1565978115125317,0.2223420400990494,30003,3507,35,53,fp
Mme Fadila KHATTABI,ENS,11695,QUALIF T2,0.161475160853837,0.2381146289320981,22065,2103,21,27,en
M. Pascal LAVERGNE,ENS,17270,QUALIF T2,0.1938032341686211,0.2761918469829998,24589,3312,33,75,en
M. Noé GAUCHARD,UG,15376,QUALIF T2,0.1596130090415538,0.2315592903828198,27634,1406,14,28,fp
M. Lander MARCHIONNI,ENS,15396,QUALIF T2,0.1388941513978727,0.1909013130974965,27829,2603,26,84,en
M. Vincent DECORDE,UG,16753,QUALIF T2,0.1749185599732709,0.2445729134731893,25625,7602,76,28,fp
Mme Raquel GARRIDO,DVG,8672,QUALIF T2,0.1315773502457971,0.236455351056578,28268,9305,93,11,dg
M. Anthony BRONDEL,UG,10350,QUALIF T2,0.1594147092799384,0.2305944211745833,18534,3901,39,27,fp
Mme Célia PEREIRA,UG,13243,QUALIF T2,0.1393149445601632,0.1953043196130193,25642,5906,59,32,fp
Mme Dominique LACHENAL,UG,15331,QUALIF T2,0.1686114929887269,0.2736750031239401,34056,7404,74,84,fp
M. Brice LARÈPE,UG,9856,QUALIF T2,0.1334597156398104,0.2131580085643842,25963,5801,58,27,fp
M. Benjamin LAMBERT,UG,9104,QUALIF T2,0.1316158505732171,0.2037965616045845,22577,5201,52,44,fp
M. Jérôme FLACHE,UG,11297,QUALIF T2,0.1320113115826867,0.1930154282492439,25043,2105,21,27,fp
M. Pierre VERDIER,ENS,16501,QUALIF T2,0.1495875260629136,0.217004208311415,31221,8102,81,76,en
M. Florian DELRIEU,ENS,12451,QUALIF T2,0.1530208435748697,0.2235608862714116,24179,3109,31,76,en
Mme Pascale BOYER,ENS,9312,QUALIF T2,0.1550785218245707,0.2257782950247308,17531,0501,05,93,en
M. Pascal BOURGOIS,UG,13885,QUALIF T2,0.166110373374487,0.2428848811377193,24550,3310,33,75,fp
Mme Florence LASSERRE,ENS,18667,QUALIF T2,0.1845732479038127,0.2662568286525267,29466,6405,64,75,en
M. Christophe ROUILLON,UG,15261,QUALIF T2,0.1734598772448283,0.2667400765560275,28903,7205,72,52,fp
Mme Virginie DAYET,UG,9138,QUALIF T2,0.1411317724099586,0.2156154880724853,20526,2503,25,27,fp
M. Louis MARGUERITTE,ENS,11699,QUALIF T2,0.136125106175023,0.2074585047524471,28033,7105,71,27,en
M. Gilles PLATRET,DVD,10746,QUALIF T2,0.1250363613092398,0.1905589445311391,28033,7105,71,27,lr
M. Romain LEFEBVRE,LR,10204,QUALIF T2,0.1277464101055372,0.1966808658275669,25531,0302,03,84,lr
Mme Christine BREYTON,ENS,11727,QUALIF T2,0.1263249741468459,0.1931896807353958,29908,1102,11,76,en
M. Dominique DESPRAS,ENS,16338,QUALIF T2,0.1541218976105351,0.2117939876330356,27394,6908,69,84,en
Mme Nathalie SERRE,LR,15941,QUALIF T2,0.1503768619053458,0.2066475674414384,27394,6908,69,84,lr
M. Vincent BONY,UG,15254,QUALIF T2,0.1807260319416141,0.2734132745424889,27063,4203,42,84,fp
M. Ilias NAGNONHOU,ENS,13192,QUALIF T2,0.1259776349589847,0.1846248582984619,31289,8504,85,52,en
Mme Julie MARIEL-GODARD,UG,13164,QUALIF T2,0.1257102476197752,0.1842329923166277,31289,8504,85,52,fp
M. Alexandre COUSIN,UG,11991,QUALIF T2,0.135344710822159,0.2011811485999027,27528,6202,62,32,fp
M. Samuel CHEVALLIER,UDI,11962,QUALIF T2,0.1428059787020677,0.2308776128621335,30121,7202,72,52,en
Mme Christelle GOBERT,UG,14891,QUALIF T2,0.159911941580756,0.2332659742782399,27451,3702,37,24,fp
M. Sébastien GUERAUD,UG,14188,QUALIF T2,0.1633752864364427,0.2345317794859079,25013,0101,01,84,fp
M. Jean-Charles COLAS-ROY,ENS,15783,QUALIF T2,0.1476150392817059,0.2053393700480074,28359,3805,38,84,en
M. Jean-Pierre CUBERTAFON,ENS,11103,QUALIF T2,0.1658476107966003,0.2333494462075198,17473,2403,24,75,en
M. Jean-Pierre PONT,ENS,11601,QUALIF T2,0.1276153389215233,0.2087862644877978,34122,6205,62,32,en
Mme Gaëlle VEROVE,UG,15191,QUALIF T2,0.1367351347459,0.2001343802698145,33235,5003,50,28,fp
Mme Anaïs GOMERO,ENS,15256,QUALIF T2,0.1916294026026227,0.2771600901097304,22994,7304,73,84,en
Mme Dominique DICHARD,UG,13427,QUALIF T2,0.1384226804123711,0.198117244330338,27807,3807,38,84,fp
Mme Fabienne COLBOC,ENS,17092,QUALIF T2,0.184312118532577,0.2765158868828059,29246,3704,37,24,en
Mme Raphaële KRATTINGER,UG,14297,QUALIF T2,0.144342699068138,0.2092499085254299,29462,6704,67,44,fp
Mme Albane BRANLANT,ENS,11933,QUALIF T2,0.1435911628802464,0.2267553444180522,29094,8001,80,32,en
Mme Caroline ABADIE,ENS,11727,QUALIF T2,0.1415586296805968,0.2049028515515795,24248,3808,38,84,en
M. Gilles TOULZA,DVC,14768,QUALIF T2,0.1814406644306021,0.2665078591666215,23307,8703,87,75,en
M. Jean-Charles LARSONNEUR,DVC,9874,QUALIF T2,0.1263209067881176,0.1848163815370793,23609,2902,29,53,en
