Liste des candidats,Nuance,Voix,Elu(e),pourcentage_inscrits,pourcentage_exprimes,abstentions,circo,dep,reg
Mme Lola PRIÉ,UG,9335,NON,0.11826036282558022,0.1982753127588624,30463,0204,02,32
Mme Flora BOUILLAGUET,EXG,832,NON,0.010540184453227932,0.01767167222446422,30463,0204,02,32
M. Philippe GOUJARD,EXD,553,NON,0.007005675483936354,0.011745714831885475,30463,0204,02,32
M. Nicolas DRAGON,RN,24774,OUI,0.34382069252654224,0.5448547361938904,24968,0201,02,32
M. Damien DELAVENNE,ENS,10380,NON,0.14405662341267086,0.2282874046053355,24968,0201,02,32
M. Charles CULIOLI,UG,8654,NON,0.12010269932690305,0.19032747586267568,24968,0201,02,32
M. Jean-Loup PERNELLE,EXG,701,NON,0.009728679480952051,0.015417097363038553,24968,0201,02,32
M. Philippe TRÉGUIER,REC,644,NON,0.008937617098050101,0.01416349600826937,24968,0201,02,32
M. Matthieu Léon BOUFFLET,DIV,316,NON,0.004385538824509055,0.00694978996679056,24968,0201,02,32
M. Jocelyn DESSIGNY,RN,27670,OUI,0.3353492261637842,0.5306967912694912,28600,0205,02,32
Mme Jeanne ROUSSEL,ENS,10811,NON,0.13102495424852445,0.20734958476380444,28600,0205,02,32
M. Karim BELAÏD,UG,10272,NON,0.12449249191016955,0.19701183375208578,28600,0205,02,32
Mme Jade GILQUIN,LR,2665,NON,0.03229872380652277,0.051113370030111814,28600,0205,02,32
Mme Yona MERBOUCHE,EXG,721,NON,0.008738228842214977,0.0138284201845068,28600,0205,02,32
M. Eddy CASTERMAN,EXD,23577,OUI,0.3572922349518094,0.5764406738221559,23648,0203,02,32
M. Jean-Louis BRICOUT,DVG,15385,NON,0.23314845123355762,0.3761521723185252,23648,0203,02,32
M. Damien CRÉON,DSV,1165,NON,0.01765472510153361,0.028483411163541233,23648,0203,02,32
Mme Laetitia VOISIN,EXG,763,NON,0.01156270837121901,0.018654800616121854,23648,0203,02,32
Mme Anne-Marie FOURNIER,REC,11,NON,0.0001666969752076135,0.00026894207965575415,23648,0203,02,32
M. Philippe TORRE,RN,21496,QUALIF T2,0.29380168113168864,0.47062944718117133,26471,0202,02,32
M. Julien DIVE,LR,16288,QUALIF T2,0.22262010524157727,0.3566064586754242,26471,0202,02,32
Mme Anne-Sophie DUJANCOURT,UG,6511,NON,0.08899063759994533,0.14255062944718117,26471,0202,02,32
M. Didier KACZMAREK,REC,561,NON,0.007667600628715916,0.012282430213464696,26471,0202,02,32
Mme Corinne BÉCOURT,EXG,497,NON,0.006792865441126222,0.010881226053639847,26471,0202,02,32
Mme Anne ZANDITÉNAS,EXG,322,NON,0.00440101141256065,0.007049808429118774,26471,0202,02,32
M. Nicolas RAY,LR,21464,QUALIF T2,0.2680721386821202,0.4005075384385729,24756,0303,03,84
M. Rémy QUENEY,RN,20270,QUALIF T2,0.25315981415796573,0.3782280937453351,24756,0303,03,84
Mme Aline JEUDI,UG,10935,QUALIF T2,0.13657141429784683,0.20404164800716526,24756,0303,03,84
M. Jean-François RAMEAU,EXG,923,NON,0.0115277014537643,0.017222719808926704,24756,0303,03,84
Mme Anne-Marie THÈS,RN,22816,QUALIF T2,0.2576710673427671,0.3860575296108291,27288,0301,03,84
M. Yannick MONNET,UG,17043,QUALIF T2,0.19247405332761133,0.2883756345177665,27288,0301,03,84
M. Stephane LARZAT,ENS,8811,NON,0.09950647678633946,0.14908629441624366,27288,0301,03,84
Mme Alexandra BARDET,LR,7889,NON,0.08909392751871888,0.13348561759729272,27288,0301,03,84
M. Jean-Marie GUILLAUMIN,UDI,1303,NON,0.014715348910747965,0.022047377326565143,27288,0301,03,84
M. Jean-Marc COLLOT,EXG,636,NON,0.007182626175929167,0.010761421319796955,27288,0301,03,84
Mme Blandine AGEZ,REC,602,NON,0.006798649304888929,0.010186125211505923,27288,0301,03,84
M. Jorys BOVET,RN,17810,QUALIF T2,0.22296781301250673,0.3432855958828858,25531,0302,03,84
Mme Louise HERITIER,UG,12482,QUALIF T2,0.15626525783391965,0.2405890403037721,25531,0302,03,84
M. Romain LEFEBVRE,LR,10204,QUALIF T2,0.12774641010553725,0.19668086582756694,25531,0302,03,84
Mme Laurence VANCEUNEBROCK,ENS,6524,NON,0.08167557619840504,0.12574931092307395,25531,0302,03,84
M. Nicolas ROUSSEAUX,DVD,3548,NON,0.044418293125680734,0.0683872708698753,25531,0302,03,84
M. Bernard LEBEL,EXG,802,NON,0.010040437172152184,0.015458452998207436,25531,0302,03,84
Mme Alice GONÇALVES,REC,511,NON,0.006397335903952327,0.009849463194618454,25531,0302,03,84
M. Christian GIRARD,RN,18616,QUALIF T2,0.302832137686464,0.4429638795031647,18194,0401,04,93
M. Felix BLANC,UG,11457,QUALIF T2,0.1863745058806305,0.27261695141103126,18194,0401,04,93
M. Benoit GAUVAN,ENS,8132,QUALIF T2,0.13228571893351554,0.19349926236139534,18194,0401,04,93
Mme Sandra RAPONI,LR,2956,NON,0.0480861516438111,0.07033741017465378,18194,0401,04,93
Mme Patricia CAMPART,REC,468,NON,0.0076130984334585915,0.011135963451196879,18194,0401,04,93
Mme Annabel ROS,EXG,396,NON,0.006441852520618808,0.009422738304858897,18194,0401,04,93
Mme Nadia LAKHLEF TSALAMLAL,UDI,1,NON,1.626730434499699e-05,2.379479369913863e-05,18194,0401,04,93
Mme Sophie VAGINAY,UXD,18314,QUALIF T2,0.2746921450105743,0.40893156190688845,20111,0402,04,93
M. Léo WALTER,UG,14774,QUALIF T2,0.2215955962862414,0.32988723903092554,20111,0402,04,93
Mme Dominique BLANC,ENS,10162,QUALIF T2,0.15242009269397488,0.22690633024450152,20111,0402,04,93
Mme Myriam CADENEL,REC,585,NON,0.008774429662071965,0.013062409288824383,20111,0402,04,93
M. Loan REYNAUD,DVD,512,NON,0.007679500832445891,0.011432399240817239,20111,0402,04,93
M. Henri CYVOCT,EXG,438,NON,0.006569572977756446,0.009780060288042871,20111,0402,04,93
M. Louis ALBRAND,RN,13115,QUALIF T2,0.24056716253645652,0.33876633775895026,14801,0502,05,93
Mme Valérie ROSSI,UG,12661,QUALIF T2,0.23223948493130583,0.32703931394327634,14801,0502,05,93
M. Sébastien FINE,ENS,10338,QUALIF T2,0.18962892308821103,0.267035181071447,14801,0502,05,93
M. Johann MONDAIN,DIV,2206,NON,0.04046444228405818,0.05698197034664462,14801,0502,05,93
M. Boris GUIGNARD,EXG,394,NON,0.007227103472311389,0.01017719687968177,14801,0502,05,93
M. Jérôme SAINTE-MARIE,RN,15772,QUALIF T2,0.2626609156161007,0.3824071380079527,17531,0501,05,93
Mme Marie-José ALLEMAND,UG,12568,QUALIF T2,0.20930271287491464,0.30472311124042284,17531,0501,05,93
Mme Pascale BOYER,ENS,9312,QUALIF T2,0.15507852182457074,0.22577829502473087,17531,0501,05,93
M. Dorian DEININGER,LR,2949,NON,0.04911152930204673,0.07150130928135001,17531,0501,05,93
Mme Véronique BUISSON,EXG,643,NON,0.010708278515163122,0.015590146445543594,17531,0501,05,93
M. Lionel TIVOLI,RN,28676,QUALIF T2,0.3172790741416891,0.48081018091581296,29314,0602,06,93
Mme Leïla TONNERRE,UG,11339,QUALIF T2,0.12545778426881757,0.19012088999178417,29314,0602,06,93
M. David VARRONE,ENS,9856,NON,0.1090494683617132,0.16525544507972703,29314,0602,06,93
M. Simon DARAGON,LR,6162,NON,0.068178046270787,0.10331818715313291,29314,0602,06,93
M. Patrice MIRAN,ECO,2296,NON,0.025403569334262733,0.03849700709243641,29314,0602,06,93
Mme Indiana PORET-RINCK,EXD,931,NON,0.01030083756541751,0.015610066900286716,29314,0602,06,93
M. Florent IMBERT,EXG,381,NON,0.004215487768446908,0.006388222866819805,29314,0602,06,93
M. Thierry FERRAND,RN,23921,QUALIF T2,0.24844210876158032,0.3631767528011417,29396,0607,06,93
M. Eric PAUGET,LR,16389,QUALIF T2,0.1702151967097337,0.2488233686575775,29396,0607,06,93
Mme Aline ABRAVANEL,ENS,11510,NON,0.1195421876947364,0.17474873227461815,29396,0607,06,93
M. Arthur MEYER-ABBATUCCI,UG,10974,NON,0.11397532300278343,0.16661099808702517,29396,0607,06,93
Mme Marylin ZBIROU,ECO,1651,NON,0.01714718956420589,0.025066043178574682,29396,0607,06,93
M. David QUINTELA,REC,932,NON,0.009679697561380915,0.01414994078887438,29396,0607,06,93
M. Christian PETARD,EXG,264,NON,0.0027418885796186283,0.004008137734187593,29396,0607,06,93
M. Enzo DEWASMES,DIV,225,NON,0.0023368368576295127,0.0034160264780007895,29396,0607,06,93
Mme Christelle D'INTORNI,UXD,29804,OUI,0.32668361978253246,0.5034714597023497,30418,0605,06,93
M. Fabrice DECOUPIGNY,UG,12233,NON,0.13408672395650648,0.206648985590486,30418,0605,06,93
M. Gaël NOFRI,ENS,8473,NON,0.09287311469659769,0.14313225332364815,30418,0605,06,93
M. Patrice BENOIT,DIV,6375,NON,0.06987679761487198,0.1076912681385881,30418,0605,06,93
M. Axel HVIDSTEN,ECO,1876,NON,0.020562960364784288,0.03169079514164569,30418,0605,06,93
Mme Agnès BENKEMOUN,EXG,436,NON,0.004779024903542616,0.007365238103282261,30418,0605,06,93
M. Franck GALBERT,RN,22921,QUALIF T2,0.27821474522370304,0.4230684041492857,27287,0609,06,93
Mme Michèle TABAROT,LR,18334,QUALIF T2,0.22253780982205715,0.33840304182509506,27287,0609,06,93
M. José GARCIA ABIA,UG,9987,NON,0.1212220522904377,0.184336815681642,27287,0609,06,93
Mme Henriette PALMERS,ECO,1742,NON,0.021144369188939867,0.0321532725460519,27287,0609,06,93
M. Sylvain LIENHARDT,EXD,900,NON,0.010924186148131964,0.01661190889290856,27287,0609,06,93
Mme Liliane PÉCOUT,EXG,294,NON,0.0035685674750564416,0.005426556905016797,27287,0609,06,93
Mme Alexandra MASSON,RN,30528,OUI,0.3563857109502685,0.562738483658685,29789,0604,06,93
Mme Anne-Pascale GUEDON,ENS,11190,NON,0.13063273406490777,0.20627108333794172,29789,0604,06,93
Mme Virginie PARENT,UG,9861,NON,0.11511790800840532,0.18177293590665267,29789,0604,06,93
Mme Christine BEYL,ECO,1717,NON,0.020044361428904974,0.031650353001898654,29789,0604,06,93
M. Joseph MARKIEL,EXG,953,NON,0.01112537940695774,0.017567144094822025,29789,0604,06,93
M. Bryan MASSON,RN,27705,OUI,0.3455091911306213,0.5084885748371112,24490,0606,06,93
Mme Laurence TRASTOUR-ISNART,LR,16213,NON,0.20219240266380664,0.29756813801963844,24490,0606,06,93
Mme Nicole MAZZELLA,UG,8281,NON,0.10327239168932233,0.15198678535376708,24490,0606,06,93
M. Pierre PIACENTINI,ECO,1927,NON,0.02403162646846083,0.035367532348352756,24490,0606,06,93
Mme Daniele BARTOLI,EXG,359,NON,0.004477090763973761,0.006588969441130586,24490,0606,06,93
Mme Dorette LANDERER,RN,23010,QUALIF T2,0.27258511621295045,0.42740916858607625,29740,0608,06,93
Mme Alexandra MARTIN,LR,15284,QUALIF T2,0.1810600137417964,0.28389924957277657,29740,0608,06,93
Mme Lucia SOUDANT,UG,7837,NON,0.09284005022863506,0.14557173638457538,29740,0608,06,93
M. Mike CASTRO DEMARIA,ENS,6508,NON,0.07709621626744378,0.12088565272308492,29740,0608,06,93
Mme Anne ITTY,ECO,950,NON,0.01125405738384628,0.017646184709116577,29740,0608,06,93
Mme Marie-José PEREIRA,EXG,181,NON,0.0021441940910275547,0.0033620625603685266,29740,0608,06,93
M. Christophe NEUTZLER,DIV,66,NON,0.0007818608287724785,0.0012259454640017832,29740,0608,06,93
M. Bernard CHAIX,UXD,23983,QUALIF T2,0.26146919017923337,0.41466535262893994,32712,0603,06,93
Mme Laure QUIGNARD,UG,15754,QUALIF T2,0.1717543936156295,0.2723861887718934,32712,0603,06,93
M. Philippe PRADAL,ENS,14670,QUALIF T2,0.1599363307313244,0.25364386119612015,32712,0603,06,93
Mme Marie Françoise CAUSSIN,ECO,1675,NON,0.01826130565609873,0.028960699897989176,32712,0603,06,93
M. Thibault DELHEZ,DSV,883,NON,0.009626706205573241,0.015267043588014593,32712,0603,06,93
Mme Estelle JAQUET,EXG,438,NON,0.004775195150669399,0.007573006898698065,32712,0603,06,93
Mme Marjorie VIVO,ECO,434,NON,0.004731586062535432,0.007503847018344658,32712,0603,06,93
M. Eric CIOTTI,UXD,20809,QUALIF T2,0.2541433090291772,0.4103610798871995,30141,0601,06,93
M. Olivier SALERNO,UG,13499,QUALIF T2,0.16486522795832875,0.2662052101204914,30141,0601,06,93
M. Graig MONETTI,ENS,11558,QUALIF T2,0.14115951587098036,0.2279279812262123,30141,0601,06,93
M. Virgile VANIER-GUÉRIN,LR,2933,NON,0.035821150722407456,0.05783983119367371,30141,0601,06,93
Mme Lalla Chama BEN MOULAY,ECO,1427,NON,0.017428156181682728,0.02814096117060088,30141,0601,06,93
M. Alain LANGOUET,EXG,313,NON,0.0038227140048119786,0.006172474314224299,30141,0601,06,93
M. Jean-Claude Wahid SPACH,REG,136,NON,0.0016609875548064827,0.00268196967007829,30141,0601,06,93
M. Maxime BOVIS,DIV,34,NON,0.0004152468887016207,0.0006704924175195725,30141,0601,06,93
Mme Céline PORQUET,RN,21736,QUALIF T2,0.27307904919845216,0.39947070499154597,23605,0701,07,84
M. Hervé SAULIGNAC,UG,20809,QUALIF T2,0.26143273531333233,0.3824340219069323,23605,0701,07,84
Mme Séverine GINEYS,ENS,6651,NON,0.08355947535052012,0.12223406601484967,23605,0701,07,84
Mme Marie-Pierre CHAIX,LR,3067,NON,0.038532087039549724,0.056366242740571934,23605,0701,07,84
M. Thierry DORNE,DSV,651,NON,0.008178802954922357,0.011964272586929354,23605,0701,07,84
Mme Muriel VANDER DONCKT,EXG,518,NON,0.006507864716819941,0.009519958832610453,23605,0701,07,84
Mme Maryse LECLERC,REC,506,NON,0.006357103372028745,0.009299419245754613,23605,0701,07,84
M. Pascal CHAMBONNET,EXG,474,NON,0.0059550731192522235,0.008711313680805705,23605,0701,07,84
M. Cyrille GRANGIER,RN,18328,QUALIF T2,0.22621016514033226,0.31946453783270296,22335,0703,07,84
Mme Florence PALLOT,UG,16239,QUALIF T2,0.20042704450643034,0.28305241324013874,22335,0703,07,84
M. Fabrice BRUN,DVD,15194,QUALIF T2,0.1875293130260917,0.2648376357393108,22335,0703,07,84
M. Quentin BONNETAIN,ENS,5984,NON,0.07385648342425515,0.10430356800474107,22335,0703,07,84
M. Christophe MARCHISIO,EXG,482,NON,0.005949001505763866,0.008401457182200067,22335,0703,07,84
M. Jacques MARCESSE,REC,479,NON,0.005911974525437536,0.008349165954924962,22335,0703,07,84
M. Laurent TOUZET,REG,331,NON,0.004085310162671867,0.005769465409353158,22335,0703,07,84
M. Alexandre FAURE,EXG,327,NON,0.004035940855570092,0.005699743772986352,22335,0703,07,84
M. Félix ZAGUEDOUN-REYNAUD,DIV,7,NON,8.639628742810595e-05,0.00012201286364190968,22335,0703,07,84
M. Vincent TREBUCHET,UXD,24417,QUALIF T2,0.2513640387901748,0.3575486894127984,26734,0702,07,84
Mme Michèle VICTORY,UG,17051,QUALIF T2,0.17553377668883444,0.24968516620295797,26734,0702,07,84
Mme Laurence HEYDEL GRILLERE,ENS,11904,NON,0.12254730383578002,0.17431541953433885,26734,0702,07,84
M. Jean-Paul VALLON,DVD,10509,NON,0.10818629166752455,0.1538878313076585,26734,0702,07,84
M. Rémy NODIN,DIV,2197,NON,0.022617307335955034,0.03217162102796896,26734,0702,07,84
M. Gérard MONTREYNAUD,REC,777,NON,0.007998929358232617,0.011377946990774638,26734,0702,07,84
M. Jacky RITZ,DSV,613,NON,0.006310609648129465,0.0089764240738029,26734,0702,07,84
Mme Michèle GAILLARD,EXG,609,NON,0.006269431118614754,0.008917850344120662,26734,0702,07,84
M. Gérard JULIEN,DIV,213,NON,0.002192756696658362,0.0031190511055791477,26734,0702,07,84
M. Flavien TERMET,RN,17817,QUALIF T2,0.2521368730895506,0.3833261617900172,23113,0801,08,44
M. Lionel VUIBERT,ENS,12157,QUALIF T2,0.17203951092494058,0.26155335628227194,23113,0801,08,44
M. Damien LEROUGE,UG,8127,NON,0.11500905694554511,0.17484939759036144,23113,0801,08,44
M. Christian CHARVET,EXD,4257,NON,0.06024283935242839,0.09158777969018933,23113,0801,08,44
Mme Sabine MISSET,LR,1782,NON,0.025217932752179328,0.03833907056798623,23113,0801,08,44
M. Arnaud RENNESSON,DIV,998,NON,0.014123174459413563,0.021471600688468158,23113,0801,08,44
Mme Sonia D'ORGEVILLE,ECO,956,NON,0.013528812408015397,0.020567986230636832,23113,0801,08,44
Mme Nadia OCTAVE,EXG,386,NON,0.00546247028189743,0.008304647160068847,23113,0801,08,44
M. Jean-Luc WARSMANN,DVD,15362,QUALIF T2,0.2819543352176786,0.4356407566004027,18614,0803,08,44
Mme Isabelle ROGER,RN,15296,QUALIF T2,0.28074297041333235,0.43376910642883476,18614,0803,08,44
Mme Sophie PERRIN,UG,4139,NON,0.07596725644225828,0.11737515242605565,18614,0803,08,44
Mme Laure AUGIER,EXG,466,NON,0.008552969679171867,0.013214984544706916,18614,0803,08,44
Mme Pauline MESTER,RN,15097,QUALIF T2,0.2504437550803736,0.4083470828487193,22712,0802,08,44
M. Pierre CORDIER,DVD,11147,QUALIF T2,0.18491730395978834,0.30150658624327176,22712,0802,08,44
M. Gilles LOYEZ,UG,6688,NON,0.11094706458087955,0.1808985421005653,22712,0802,08,44
M. Philippe MATHOT,ENS,3467,NON,0.0575139762114099,0.09377620296989532,22712,0802,08,44
Mme Mink TAKAWE,EXG,308,NON,0.005109404289908926,0.008330853912526033,22712,0802,08,44
M. Patrick BENYOUCEF,EXG,264,NON,0.004379489391350509,0.007140731925022315,22712,0802,08,44
Mme Martine FROGER,UG,19245,OUI,0.3351853141981329,0.5073686430624028,16586,0901,09,76
M. Jean-Marc GARNIER,RN,15049,NON,0.2621046398216525,0.3967467243152039,16586,0901,09,76
Mme Gisèle LAPEYRE,EXG,2756,NON,0.04800055733593423,0.07265824787113442,16586,0901,09,76
M. Pascal MASCETTI,REC,881,NON,0.015344154939389718,0.023226384751258863,16586,0901,09,76
M. Laurent PANIFOUS,UG,19911,QUALIF T2,0.32088121061707303,0.4824803722012213,18562,0902,09,76
Mme Michèle ALOZY,RN,16678,QUALIF T2,0.26877890767272083,0.40413880003877095,18562,0902,09,76
M. Yann DE KERIMEL,DVD,2023,NON,0.0326022143075857,0.049021033246098675,18562,0902,09,76
Mme Théodora TESTARD,EXG,1852,NON,0.029846416657265798,0.04487738683725889,18562,0902,09,76
Mme Alexandra TARRIEUX-ANTRANIKIAN,REC,804,NON,0.012957083689223381,0.019482407676650187,18562,0902,09,76
M. Jordan GUITTON,RN,22636,OUI,0.35383677488940646,0.5383883550566073,20479,1001,10,44
M. Philippe BEURY,ENS,7898,NON,0.12345833398464977,0.18785082294738845,20479,1001,10,44
Mme Alice BARRY,UG,6019,NON,0.0940865677707783,0.14315954714109028,20479,1001,10,44
M. Chris MANIERI-BIGORGNE,LR,4921,NON,0.07692307692307693,0.11704404909142803,20479,1001,10,44
M. Lionel PAILLARD,EXG,570,NON,0.00891000891000891,0.013557225763485873,20479,1001,10,44
M. Albéric FERRAND,RN,22316,QUALIF T2,0.30166540499621497,0.4482924869425472,23037,1002,10,44
Mme Valérie BAZIN-MALGRAS,LR,13902,QUALIF T2,0.18792581377744133,0.279268782643632,23037,1002,10,44
Mme Samira SEBBARI,UG,8256,NON,0.11160376338271873,0.16584973885094415,23037,1002,10,44
Mme Salomé FONTAINE-GARCIA,ENS,4703,NON,0.06357467286687574,0.09447569304941744,23037,1002,10,44
M. Romain VALLÉE,EXG,603,NON,0.00815129231101979,0.012113298513459221,23037,1002,10,44
Mme Angélique RANC,RN,18084,QUALIF T2,0.2762476513450346,0.4333469123673049,22892,1003,10,44
M. Olivier GIRARDIN,UG,10178,QUALIF T2,0.15547713975833677,0.24389542546308499,22892,1003,10,44
M. Luc SCHERRER,ENS,6994,NON,0.10683897774315262,0.1675972298770698,22892,1003,10,44
M. Didier LEPRINCE,LR,3654,NON,0.05581779020209889,0.08756080611535788,22892,1003,10,44
M. Olivier RICHARD,DVD,1502,NON,0.022944258588821168,0.035992427691644104,22892,1003,10,44
Mme Nelly COLLOT-TOUZÉ,ECO,970,NON,0.014817530513419795,0.02324411109247322,22892,1003,10,44
M. Pascal ANDRIEUX,EXG,349,NON,0.005331255823900524,0.008363087393065108,22892,1003,10,44
M. Christophe BARTHÈS,RN,32916,QUALIF T2,0.33175097511565327,0.4933157484563276,29751,1101,11,76
M. Philippe POUTOU,UG,12475,QUALIF T2,0.12573196665961156,0.1869642107787303,29751,1101,11,76
M. Jean-Claude PEREZ,ENS,11252,NON,0.1134056985053266,0.1686349739224267,29751,1101,11,76
M. Aurélien TURCHETTO,DVG,8463,NON,0.08529616303328999,0.12683592110784725,29751,1101,11,76
M. Fabrice COFFINET,REC,823,NON,0.00829478224936756,0.012334392422516636,29751,1101,11,76
Mme Laure-Nelly AMALRIC,DVC,465,NON,0.004686602364466483,0.006969006654277321,29751,1101,11,76
Mme Nicole GADRAT,EXG,326,NON,0.003285661012507685,0.004885798213536359,29751,1101,11,76
M. Jean-Marc MARIN,LR,4,NON,4.031485904917405e-05,5.994844433786943e-05,29751,1101,11,76
Mme Monique FERRÉ,REG,0,NON,0.0,0.0,29751,1101,11,76
M. Julien RANCOULE,RN,27946,QUALIF T2,0.311001802844488,0.44702156248000513,25093,1103,11,76
M. Philippe ANDRIEU,UG,20426,QUALIF T2,0.227314206859712,0.3267323565167317,25093,1103,11,76
Mme Sylvie SOREL-LESTIN,ENS,8155,NON,0.09075430123083086,0.13044660566894875,25093,1103,11,76
M. Jean-François LECLERC,LR,2096,NON,0.02332569164682054,0.0335274169812528,25093,1103,11,76
Mme Christine CHAMPION,UDI,1868,NON,0.020788354960048074,0.02988035063023866,25093,1103,11,76
M. Bernard BIANCO,DIV,759,NON,0.008446660286229384,0.012140891931665494,25093,1103,11,76
Mme Nathalie MARTEEL,REC,681,NON,0.00757862405128091,0.010893211337897498,25093,1103,11,76
M. Dominique GALONNIER,EXG,585,NON,0.006510271762113557,0.009357604453259966,25093,1103,11,76
M. Frédéric FALCON,RN,29212,QUALIF T2,0.3146759738021372,0.48123620309050774,29908,1102,11,76
Mme Viviane THIVENT,UG,15795,QUALIF T2,0.1701460703205791,0.2602055945438371,29908,1102,11,76
Mme Christine BREYTON,ENS,11727,QUALIF T2,0.1263249741468459,0.19318968073539586,29908,1102,11,76
M. Gérard LENFANT,DIV,1927,NON,0.020757928300586006,0.031745247273565945,29908,1102,11,76
M. Alain PEYRE,REC,969,NON,0.010438210961737332,0.01596323020658298,29908,1102,11,76
M. Alain BRUN,DVD,654,NON,0.007044984488107549,0.010773944845309875,29908,1102,11,76
Mme Annette VIGIER,EXG,418,NON,0.004502757669769045,0.0068860993048005005,29908,1102,11,76
Mme Nicole GRAU,REG,0,NON,0.0,0.0,29908,1102,11,76
M. Pierre-Antoine FEVRE,UXD,18044,QUALIF T2,0.2496713757938869,0.35456171032206085,19095,1203,12,76
M. Jean-François ROUSSET,ENS,16514,QUALIF T2,0.22850105851586391,0.3244974553457389,19095,1203,12,76
M. Richard BOUIGUE,UG,14660,QUALIF T2,0.20284761522602426,0.28806665225678413,19095,1203,12,76
M. Thierry NOEL,ECO,1066,NON,0.014750038051223865,0.020946729284156335,19095,1203,12,76
M. Bernard COMBES,EXG,607,NON,0.008398942867816967,0.011927452791259752,19095,1203,12,76
Mme Marie-Christine PAROLIN,RN,15922,QUALIF T2,0.2334022311154111,0.3311150854718629,17951,1202,12,76
